Record_number,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max
80,"Exponential, R=a exp(b(T-c))",,,,,35,0.45,20,0.6,0.148,0,,,,2.64,4.39,4.39,4.39,4.39,,,,,,
81,"Exponential, R=a exp(b(T-c))",,,,,35,0.74,20,0.56,0.154,0,,,,2.61,4.66,4.66,4.66,4.66,,,,,,
82,"Exponential, R=a exp(b(T-c))",,,,,35,0.57,20,0.84,0.113,0,,,,2.6,3.1,3.1,3.1,3.1,,,,,,
83,"Exponential, R=a exp(b(T-c))",,,,,25,0.89,20,0.96,0.099,0,,,,2.58,2.69,2.69,2.69,2.69,,,,,,
84,"Exponential, R=a exp(b(T-c))",,,,,25,0.81,20,1.1,0.097,0,,,,2.9,2.64,2.64,2.64,2.64,,,,,,
85,"Exponential, R=a exp(b(T-c))",,,,,25,0.73,20,1.55,0.059,0,,,,2.8,1.8,1.8,1.8,1.8,,,,,,
86,"Exponential, R=a exp(b(T-c))",,,,,25,0.68,20,1.12,0.074,0,,,,2.35,2.1,2.1,2.1,2.1,,,,,,
88,"Linear, R=a+b(T-c)",,,,,,0.87,10,1.14,0.22,0,,,,3.34,2.93,1.98,1.66,2.2,,,,,,
89,"Linear, R=a+b(T-c)",,,,,,0.87,10,0.7,0.09,0,,,,1.6,2.29,1.78,1.56,1.89,,,,,,
90,"Exponential, R=a exp(b(T-c))",,,,,,0.58,5,2.03,0.08,0,,,,4.52,2.2,2.2,2.2,2.2,,,,,,
91,"Exponential, R=a exp(b(T-c))",,,,,,0.58,5,2.03,0.08,0,,,,4.52,2.2,2.2,2.2,2.2,,,,,,
92,Other,,umol CO2/m2/s,1,20,268,0.8,,,,,,,,2.5,,,,,,,,,,
93,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,2.9,2.9,2.9,2.9,,,,,,
94,Other,,umol CO2/m2/s,1,20,268,0.8,,,,,,,,2.5,,,,,,,,,,
95,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,2.9,2.9,2.9,2.9,,,,,,
96,Other,,umol CO2/m2/s,1,20,268,0.8,,,,,,,,2.5,,,,,,,,,,
97,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,2.9,2.9,2.9,2.9,,,,,,
98,"Exponential, R=a exp(b(T-c))",,,,,69,0.61,15,1.216,0.051,0,,,,2.02,1.7,1.7,1.7,1.7,,,,,,
104,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,6,16,10,0.87,10,0.032,0.078,0,,,,1.62,,2.2,2.2,,,,,,,
106,"Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)",,,,,37,0.83,15,89.76,1.54,5,0,,,,,,,,2.5,0,5,,,
109,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,32,40,0.9,0,139.3,0.065,0,,,,6.17,1.9,1.9,1.9,1.9,,,,,,
110,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,32,40,0.83,0,131.7,0.063,0,,,,5.75,1.9,1.9,1.9,1.9,,,,,,
111,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,32,40,0.92,0,139,0.077,0,,,,6.95,2.2,2.2,2.2,2.2,,,,,,
112,"Exponential (ln2), ln(R)=a+b ln(T-c)",Positive,mg CO2/m2/hr,-3,39,,0.89,5,-1.66,2.2,-10,,,,3.21,4.59,3.08,2.44,3.35,,,,,,
114,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,20,33,11,0.76,15,0.62,0.07,0,,,,,,,2,,2,20,33,,,
115,"Exponential, R=a exp(b(T-c))",,,,,120,0.7,7,0.839,0.068,0,,,Positive,1.66,2,2,2,2,,,,,,
116,"Exponential, R=a exp(b(T-c))",,,,,120,0.7,7,0.839,0.068,0,,,Positive,1.66,2,2,2,2,,,,,,
117,"Exponential, R=a exp(b(T-c))",,,,,120,0.7,7,0.839,0.068,0,,,Positive,1.66,2,2,2,2,,,,,,
118,"Exponential, R=a exp(b(T-c))",,,,,120,0.7,7,0.839,0.068,0,,,Positive,1.66,2,2,2,2,,,,,,
119,"Exponential, R=a exp(b(T-c))",,,,,12,,,0.276,0.11,0,,,Positive,0.83,3,3,3,3,,,,,,
123,"Exponential, R=a exp(b(T-c))",,,,,269,0.53,5,0.102,0.074,0,,,,4.92,2.09,2.09,2.09,2.09,,,,,,
124,"Exponential, R=a exp(b(T-c))",,,,,218,0.7,5,0.051,0.114,0,,,,3.65,3.11,3.11,3.11,3.11,,,,,,
125,"Exponential, R=a exp(b(T-c))",,,,,241,0.74,5,0.063,0.104,0,,,,4.11,2.83,2.83,2.83,2.83,,,,,,
126,"Exponential, R=a exp(b(T-c))",,,,,303,0.63,5,0.078,0.105,0,,,,5.17,2.85,2.85,2.85,2.85,,,,,,
127,"Exponential, R=a exp(b(T-c))",,,,,423,0.55,5,0.119,0.098,0,,,,7.3,2.66,2.66,2.66,2.66,,,,,,
128,"Exponential, R=a exp(b(T-c))",,,,,410,0.56,5,0.136,0.097,0,,,,8.29,2.64,2.64,2.64,2.64,,,,,,
133,"Exponential, R=a exp(b(T-c))",,,,,,0.97,,0.763,0.106,0,,,,2.2,2.89,2.89,2.89,2.89,,,,,,
134,"Exponential, R=a exp(b(T-c))",,,,,,0.97,,0.588,0.136,0,,,,2.29,3.9,3.9,3.9,3.9,,,,,,
135,"Exponential, R=a exp(b(T-c))",,,,,,0.96,,0.877,0.107,0,,,,2.56,2.92,2.92,2.92,2.92,,,,,,
136,"Exponential, R=a exp(b(T-c))",,,,,,0.98,,0.978,0.122,0,,,,3.31,3.39,3.39,3.39,3.39,,,,,,
137,"Exponential, R=a exp(b(T-c))",,,,,,0.97,,0.995,0.109,0,,,,2.96,2.97,2.97,2.97,2.97,,,,,,
139,"Linear, R=a+b(T-c)",,,,,,0.7,,1.067,0.183,0,,,None,2.9,2.72,1.92,1.63,2.1,,,,,,
141,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,4,30,,,,133,0.09,0,,,,2.06,2.45,2.45,2.45,2.45,,,,,,
142,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,4,30,,,,136,0.058,0,,,,1.53,1.78,1.78,1.78,1.78,,,,,,
145,"Linear, R=a+b(T-c)",Positive,,14,28,,0.6,,,,,,,Positive,0.59,2.56,1.88,1.61,2.03,,,,,,
146,"Exponential, R=a exp(b(T-c))",Positive,,1,14,10,0.95,10,0.47,0.21,0,,,Mixed,3.84,8.2,8.2,,,,,,,,
147,"Exponential, R=a exp(b(T-c))",Positive,,1,14,10,0.9,10,0.4,0.22,0,,,Mixed,3.61,9,9,,,,,,,,
149,"Exponential, R=a exp(b(T-c))",,,4,27,,0.94,10,0.89,0.08,0,,,Positive,1.98,2.2,2.2,2.2,2.2,,,,,,
150,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mg CO2/m2/hr,4,32,,0.92,0,4.38,0.062,0,,,,0.94,1.9,1.9,1.9,1.9,,,,,,
151,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mg CO2/m2/hr,4,32,,0.82,0,3.98,0.049,0,,,,0.55,1.6,1.6,1.6,1.6,,,,,,
152,"Linear, R=a+b(T-c)",,,,,4,0.99,10,0.455,0.066,0,,,,1.12,2.45,1.84,1.59,1.98,,,,,,
162,"Linear, R=a+b(T-c)",,,,,4,0.96,10,0.048,0.081,0,,,Mixed,0.86,17.88,2.79,1.94,5.89,,,,,,
164,"Exponential, R=a exp(b(T-c))",,,,,,0.97,2.5,0.3,0.099,0,,,,0.81,2.69,2.69,2.69,2.69,,,,,,
165,"Exponential, R=a exp(b(T-c))",,,,,,0.87,2.5,0.3,0.089,0,,,,0.73,2.44,2.44,2.44,2.44,,,,,,
166,"Exponential, R=a exp(b(T-c))",,,,,,0.92,2.5,0.381,0.081,0,,,,0.86,2.25,2.25,2.25,2.25,,,,,,
167,"Exponential, R=a exp(b(T-c))",,,,,,0.77,2.5,0.381,0.074,0,,,,0.8,2.1,2.1,2.1,2.1,,,,,,
172,"Linear, R=a+b(T-c)",Positive,g C/m2/day,8,28,,,,,,,,,,0.48,,3.96,3.96,,,,,,,
173,"Linear, R=a+b(T-c)",Positive,g C/m2/day,8,28,,,,,,,,,,0.48,,3.96,3.96,,,,,,,
174,"Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)",Positive,mg CO2/m2/s,0,17,10,0.87,10,-3.243,0.136,0,0,,None,3.41,3.9,3.9,3.9,3.9,,,,,,
175,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.937,0.084,0,,,,6.83,2.3,2.3,2.3,2.3,,,,,,
176,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.937,0.084,0,,,,6.83,2.3,2.3,2.3,2.3,,,,,,
177,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.937,0.084,0,,,,6.83,2.3,2.3,2.3,2.3,,,,,,
178,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.949,0.078,0,,,,6.43,2.2,2.2,2.2,2.2,,,,,,
179,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.949,0.078,0,,,,6.43,2.2,2.2,2.2,2.2,,,,,,
180,"Exponential, R=a exp(b(T-c))",,,,,12,,10,2.949,0.078,0,,,,6.43,2.2,2.2,2.2,2.2,,,,,,
187,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,
188,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,
189,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,
190,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,
191,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,
192,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,
193,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,
194,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,
195,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,
196,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,
197,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,
198,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,
199,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,
200,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,58789.954,391,1,225.6,,Negative,1.53,4.2,3.3,2.7,3.4,,,,,,
201,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,49372.146,391,1,225.6,,Negative,1.28,4.2,3.3,2.7,3.4,,,,,,
202,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,
203,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,
204,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,
205,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,
206,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,
207,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,
208,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,
209,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,
210,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,58789.954,391,1,225.6,,Negative,1.53,4.2,3.3,2.7,3.4,,,,,,
211,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,49372.146,391,1,225.6,,Negative,1.28,4.2,3.3,2.7,3.4,,,,,,
212,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,
213,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,
214,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,
215,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,
216,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,
217,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,
218,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,
219,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,
