Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
11,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1981,CA-BND-20YRPD,2001.5,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Mixed,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,570,,,,216,354,0.38,,,,,3.2,,,0.37,Growing,,,310,584,556.1,27.9,27.4,,6.1,27.4,33.5,,0.1,0.2,750,360,390,260,130,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
12,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1964,CA-BND-37YRPD,2001.5,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,397,,,,67,330,0.17,,,,,2.08,,,0.15,Growing,,,174,429,379.6,49.4,20.3,,5.2,20.3,25.5,,0.3,2.2,2150,1800,350,200,150,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
13,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1930,CA-BND-71YRPD,2001.5,1.5,55.91,-98.51,,None,,,71,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,338,,,,48,290,0.14,,,,,1.6,,,0.18,Growing,,,94,326,233.1,93,42,,19.8,42,61.8,,3,20.3,3880,3400,480,340,140,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
14,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1850; NOBS,CA-BND-151YRPD,2001.5,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,375,,,,23,352,0.06,,,,,1.67,,,0.21,Growing,,,11,262,216.4,45.6,16.8,,13.4,16.8,30.2,,1.1,16.6,3450,3100,350,250,100,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
15,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1998,CA-BND-3YRWD,1999.5,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,226,,,,,,,,,,,0.81,,,,,,,-136,111,106,5,5,,0,5,5,,0,0,200,80,120,70,50,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
16,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1995,CA-BND-6YRWD,1999.5,1.5,56.46,-99.97,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Gray luvisol (Boralf),Dry,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,412,,,,,,,,,,,1.49,,,,,,,-134,188.5,183.5,20.3,20.3,,2,20.3,22.3,,0.1,0.5,160,90,70,40,30,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
17,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1989,CA-BND-12YRWD,1999.5,1.5,55.91,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,357,,,,,,,,,,,1.49,,,,,,,-2,366.5,354.1,12.8,12.8,,17.5,12.8,30.3,,0,0,520,400,120,70,50,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
18,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1981,CA-BND-20YRWD,1999.5,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Mixed,Aggrading,Gray luvisol (Boralf),Dry,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,413,,,,,,,,,,,1.49,,,,,,,43,403,363.4,39.7,22.6,,31.3,22.6,53.9,,0.9,4.1,1050,700,350,230,120,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
19,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1964,CA-BND-37YRWD,1999.5,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,350,,,,,,,,,,,1.49,,,,,,,97,432,377.2,54.9,36,,30.8,36,66.8,,1.8,11.6,2300,1500,800,600,200,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
20,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1930,CA-BND-71YRWD,1999.5,1.5,55.91,-98.52,,None,,,71,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,274,,,,,,,,,,,1.49,,,,,,,112,362,202.6,159.4,78.7,,59.6,78.7,138.3,,6.8,36.7,6720,5500,1220,970,250,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
21,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1850; NOBS,CA-BND-151YRWD,1999.5,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,244,,,,,,,,,,,1.49,,,,,,,-19,211,147.1,74.5,74.5,,33.5,74.5,108,,5.3,42.2,8530,7100,1430,1230,200,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
22,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1998,CA-BND-3YRPD,1999.5,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,146,,,,,,,,,,,0.81,,,,,,,-76,74,68,6,4.3,,0,4.3,4.3,,0,0,90,20,70,40,30,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
23,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1995,CA-BND-6YRPD,1999.5,1.5,56.46,-99.98,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,380,,,,,,,,,,,1.49,,,,,,,131,490,456.4,34.6,34.6,,1,34.6,35.6,,0,0,550,100,450,300,150,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
24,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1989,CA-BND-12YRPD,1999.5,1.5,55.9,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,300,,,,,,,,,,,1.49,,,,,,,-30,261,223.3,37.7,30.6,,5.2,30.6,35.8,,0,0,740,350,390,260,130,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
25,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1981,CA-BND-20YRPD,1999.5,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Mixed,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,303,,,,,,,,,,,1.49,,,,,,,310,584,556.1,27.9,27.4,,6.1,27.4,33.5,,0.1,0.2,750,360,390,260,130,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
26,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1964,CA-BND-37YRPD,1999.5,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,256,,,,,,,,,,,1.49,,,,,,,174,429,379.6,49.4,20.3,,5.2,20.3,25.5,,0.3,2.2,2150,1800,350,200,150,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
27,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1930,CA-BND-71YRPD,1999.5,1.5,55.91,-98.51,,None,,,71,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,233,,,,,,,,,,,1.49,,,,,,,94,326,233.1,93,42,,19.8,42,61.8,,3,20.3,3880,3400,480,340,140,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
28,2008-09-26,2182,Wang,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1850; NOBS,CA-BND-151YRPD,1999.5,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,4,452.16,,30,1,,264,,,,,,,,,,,1.49,,,,,,,11,262,216.4,45.6,16.8,,13.4,16.8,30.2,,1.1,16.6,3450,3100,350,250,100,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
29,2008-10-01,469,Ewel,,Q02,BBL,USA,Florida,Ewel9,US-FBF-EWEL9,1984,1,29.95,-82.11,,None,,,9,Pinus elliottii,Temperate,Forest,Managed,Evergreen,Aggrading,Ultic Haplaquod,Dry,,,,,,,,,,,IRGA,,,,,30,1,Exclusion,850,,,,434,417,0.51,,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,11900,100,"Litter data are from Gholz 1985, different sites"
30,2008-10-01,469,Ewel,,Q02,BBL,USA,Florida,Ewel29,US-FBF-EWEL29,1984,1,29.95,-82.11,,None,,,29,Pinus elliottii,Temperate,Forest,Managed,Evergreen,Mature,Ultic Haplaquod,Dry,,,,,,,,,,,IRGA,,,,,30,1,Exclusion,1300,,,,806,494,0.62,,,,,,,,,,,,,,,,,,358,,,,,,,,,,,,10300,100,"Litter data are from Gholz 1985, different sites"
31,2008-10-01,148,Edwards,,Q01,BBL,USA,Tennessee,Oak Ridge,US-TOR,1977,1,35.99,-84.29,,None,,,50,Liriodendron tulipifera,Temperate,Forest,Natural,Deciduous,Mature,Emory cherty silt loam,Dry,,,,,,13.3,1265,,,,IRGA,,,,,14,1,Extraction,1065,,,,373,692,0.35,,,,,,,,,,1750,,,,,,450,,161,450,611,,,,,,,,340,,12850,60,Site previously desribed by Sollins (1973) and Reichle (1973); Rs_max estimated from figure
32,2008-10-01,4179,Edwards,,,BBL,USA,Tennessee,Oak Ridge,US-OAR,1977,1,35.99,-84.29,,None,,,50,Liriodendron tulipifera,Temperate,Forest,Natural,Deciduous,Mature,Emory cherty silt loam,Dry,,,,,,13.3,1265,,,,IRGA,13,,522,,,1,,1036,,,,,,,,,,,,,,,,1750,,,,,,450,,161,450,611,,,,,,,,,,,,
33,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-CK,1991,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,541,30,29,,362,496,0.42,,,,,,,,,,,,,,,,215.5,758,146,205.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr
34,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-300N,1991,1,46.17,-89.67,,Fertilized,300 kgN/ha/yr,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,478,17,54,,88,390,0.18,,,,,,,,,,,,,,,,215.5,535,162,0,162,,,38.8,,,,,431,,,,Model units corrected from mg CO2/m2/hr
35,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-CK,1992,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,483,20,29,,362,496,0.42,,,,,,,,,,,,,,,,215.5,618,151,200.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr
36,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-300N,1992,1,46.17,-89.67,,Fertilized,300 kgN/ha/yr,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,374,7,54,,-16,390,-0.04,,,,,,,,,,,,,,,,215.5,253,187,0,187,,,38.8,,,,,431,,,,Model units corrected from mg CO2/m2/hr
37,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-CK,1993,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,505,20,29,,362,496,0.42,,,,,,,,,,,,,,,,215.5,791,110,241.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr
38,2008-10-01,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,US-BOJ-300N,1993,1,46.17,-89.67,,Fertilized,300 kgN/ha/yr,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Alkali absorption,,,615.44,,30,0.6,Exclusion,404,6,54,,14,390,0.03,,,,,,,,,,,,,,,,215.5,342,164,0,164,,,38.8,,,,,431,,,,Model units corrected from mg CO2/m2/hr
39,2008-10-01,754,Bowden,,,BBL,USA,Massachusetts,Harvard,US-HAR,1991,1,42.5,-72.15,,None,,140,80,Quercus borealis; Acer rubrum; Betula papyrifera,Temperate,Forest,Natural,Deciduous,Mature,"Inceptisol, Charlton series",Dry,,,,,,6,1172,,,,Alkali absorption,20,,593.66,,7,0.25,Exclusion,371,,,137,122,249,0.33,,,,,,,,,,,,,,,,,,138,,,,,29.7,,,,,293,,,,
40,2008-10-01,461,Buyanovsky,,Q01,BBL,USA,Missouri,Tucker Prairie Research Station,US-TPR-GRA,1985,3,38.9,-92.33,,None,,,1,Andropogon gerardi,Temperate,Grassland,Natural,Deciduous,Aggrading,Silt loam,Dry,0.95,,,,,12.5,973,790,,,Alkali absorption,,,,,20,1,Isotope,316,,,55,87,229,0.28,,,,,,,,,,,,,450,215,235,235,,193,235,428,,,,,408,,801,801,10750,,,Rs estimated from graph
41,2008-10-02,461,Buyanovsky,,Q01,BBL,USA,Missouri,Sanborn Field,US-TPR-CRO,1985,3,38.9,-92.33,,None,,,1,Triticum aestivum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Silt loam,Dry,1.37,,,,,12.5,973,790,,,Alkali absorption,,,,,20,1,Isotope,330,,,124,45,285,0.14,,,,,,,,,,,,,543,253,290,290,,90,338,428,,,,,,,,290,6750,,,Rs estimated from graph
42,2008-10-02,1908,Swanson,,,BBL,Canada,Saskatchewan,BOREAS SSA-OBS,CA-BSO-MOSS,1996,1,53.99,-105.12,617,None,,,120,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Clay-sand,Medium,,,,,,,,,,,IRGA,30,13.5,3600,,60,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2008-10-02,1908,Swanson,,,BBL,Canada,Saskatchewan,BOREAS SSA-OBS,CA-BSO-SPHAGNUM,1996,1,53.99,-105.12,617,None,,,120,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Clay-sand,Wet,,,,,,,,,,,IRGA,30,13.5,3600,,60,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2008-10-02,2459,Subke,,,BBL,Germany,,Wiedenbrunnen2,DE-WIE,1999,4,50.13,11.87,760,None,,,112,Picea abies,Temperate,Forest,Natural,Evergreen,Mature,Cambic podzol,Dry,,,,,,6,1019,,,,IRGA,,1.5,315,,0.04,0.67,,560,22,43,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,
46,2008-10-02,1565,Buchmann,,,BBL,Germany,,Wiedenbrunnen,DE-WIE-47YR,1997.5,1,50.13,11.87,770,None,,,47,Picea abies,Temperate,Forest,Managed,Evergreen,Aggrading,Cambic podzol,Dry,,,,,,5.8,890,,,,IRGA,10,6.5,78.5,,30,0.58,Exclusion,710,,,107,210,500,0.3,,,,,0.73,,,,,,,,,,290,290,,240,290,530,,10.4,,,,,,,,,,
49,2008-10-02,1565,Buchmann,,,BBL,Germany,,Wiedenbrunnen3,DE-WIE-87YR,1997.5,1,50.13,11.87,770,None,,,87,Picea abies,Temperate,Forest,Natural,Evergreen,Mature,Cambic podzol,Dry,,,,,,5.8,890,,,,IRGA,10,6.5,78.5,,30,0.58,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2008-10-03,1565,Buchmann,,,BBL,Germany,,Wiedenbrunnen2,DE-WIE-111YR,1997.5,1,50.13,11.87,770,None,,,111,Picea abies,Temperate,Forest,Natural,Evergreen,Mature,Cambic podzol,Dry,,,,,,5.8,890,,,,IRGA,10,6.5,78.5,,30,0.58,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2008-10-03,1565,Buchmann,,,BBL,Germany,,Coulissenhieb,DE-WIE-146YR,1997.5,1,50.13,11.87,770,None,,,146,Picea abies,Temperate,Forest,Natural,Evergreen,Mature,Cambic podzol,Dry,,,,,,5.8,890,,,,IRGA,10,6.5,78.5,,30,0.58,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,
